Country,2014,2015,2016,2017,2018
Afghanistan,..,..,..,..,..
Albania,"3,673","4,131","4,736","5,118","5,927"
Algeria,"2,301","1,710","2,039","2,451","2,657"
American Samoa,52,47,38,42,52
Andorra,"7,797","7,850","8,025","8,152","8,328"
Angola,..,..,..,..,..
Anguilla,177,186,176,151,87
Antigua And Barbuda,771,894,874,"1,040","1,062"
Argentina,..,..,"9,986","9,964","10,394"
Armenia,..,..,..,..,..
Aruba,"1,739","1,832","1,758","1,863","1,897"
Australia,"6,922","7,449","8,269","8,815","9,246"
Austria,..,..,..,..,..
Azerbaijan,"2,298","2,006","2,249","2,697","2,850"
Bahamas,"6,320","6,112","6,265","6,136","6,622"
Bahrain,"10,452","9,670","10,158","11,374","12,045"
Bangladesh,..,..,..,..,..
Barbados,"1,079","1,179","1,227","1,345","1,356"
Belarus,"5,375","4,386","10,935","11,060","11,502"
Belgium,..,..,..,..,..
Belize,"1,289","1,299","1,391","1,441","1,697"
Benin,265,279,292,307,322
Bermuda,580,597,642,688,766
Bhutan,..,..,..,..,..
Bolivia,..,..,..,..,..
Bonaire,..,..,..,..,..
Bosnia And Herzegovina,..,..,..,..,..
Botswana,..,"1,660","1,712","1,775",..
Brazil,..,..,..,..,..
British Virgin Islands,773,922,"1,124",..,..
Brunei Darussalam,..,..,..,"4,316","4,521"
Bulgaria,"9,409","9,317","10,604","11,596","12,368"
Burkina Faso,..,..,..,..,..
Burundi,..,..,..,..,..
Cabo Verde,..,..,..,..,..
Cambodia,..,..,..,..,..
Cameroon,822,897,994,"1,081",..
Canada,"25,558","27,555","30,142","31,081","31,274"
Cayman Islands,"1,993","2,102","2,097","2,147","2,384"
Central African Republic,..,..,..,..,..
Chad,..,..,..,..,..
Chile,"4,601","5,487","6,712","7,621","6,603"
China,"128,499","133,820","141,774","153,260","158,606"
Colombia,"2,866","3,252","3,559","3,976","4,282"
Comoros,..,..,..,..,..
Congo,229,224,213,151,158
"Congo, Democratic Republic Of The",..,..,..,..,..
Cook Islands,..,..,..,..,..
Costa Rica,"2,760","2,899","3,172","3,262","3,300"
