country,hotels
Afghanistan,..
Albania,..
Algeria,..
American Samoa,26
Andorra,239
Angola,238
Anguilla,..
Antigua And Barbuda,..
Argentina,"15,613"
Armenia,"1,631"
Aruba,..
Australia,"5,256"
Austria,"12,003"
Azerbaijan,596
Bahamas,310
Bahrain,120
Bangladesh,..
Barbados,..
Belarus,604
Belgium,"4,170"
Belize,890
Benin,"1,193"
Bermuda,41
Bhutan,136
Bolivia,"1,476"
Bonaire,..
Bosnia And Herzegovina,668
Botswana,933
Brazil,..
British Virgin Islands,..
Brunei Darussalam,89
Bulgaria,"2,102"
Burkina Faso,728
Burundi,..
Cabo Verde,284
Cambodia,"3,083"
Cameroon,"2,275"
Canada,..
Cayman Islands,585
Central African Republic,91
Chad,..
Chile,"8,039"
China,"8,962"
Colombia,"15,530"
Comoros,72
Congo,976
Congo,..
Cook Islands,..
Costa Rica,"3,748"
Côte D'Ivoire,..
Croatia,"1,065"
Cuba,358
Curaçao,..
Cyprus,420
Czech Republic,"6,277"
Denmark,556
Djibouti,32
Dominica,55
Dominican Republic,830
Ecuador,"4,130"
Egypt,"1,243"
El Salvador,777
Equatorial Guinea,..
Eritrea,649
Estonia,418
Eswatini,152
Ethiopia,"1,216"
Fiji,..
Finland,997
France,"17,960"
French Guiana,29
French Polynesia,328
Gabon,..
Gambia,47
Georgia,"1,639"
Germany,"31,842"
Ghana,..
Greece,"9,873"
Grenada,93
Guadeloupe,..
Guam,..
Guatemala,"3,315"
Guinea,..
Guinea-Bissau,..
Guyana,..
Haiti,..
Honduras,"1,175"
"Hong Kong, China","1,798"
Hungary,"2,357"
Iceland,420
India,"102,917"
Indonesia,"3,314"
Iran,"4,776"
Iraq,..
Ireland,"1,992"
Israel,419
Italy,"32,896"
Jamaica,"1,084"
Japan,"30,000"
Jordan,565
Kazakhstan,"3,322"
Kenya,..
Kiribati,31
"Korea, Democratic People'S Republic Of",..
South Korea,"24,755"
Kuwait,90
Kyrgyzstan,194
Laos,"3,102"
Latvia,318
Lebanon,582
Lesotho,177
Liberia,..
Libya,..
Liechtenstein,34
Lithuania,387
Luxembourg,227
"Macao, China",116
Madagascar,"3,078"
Malawi,..
Malaysia,"4,750"
Maldives,787
Mali,782
Malta,234
Marshall Islands,..
Martinique,162
Mauritania,..
Mauritius,113
Mexico,"22,560"
Micronesia,..
Moldova,143
Monaco,12
Mongolia,374
Montenegro,345
Montserrat,..
Morocco,"4,055"
Mozambique,"2,188"
Myanmar,"1,704"
Namibia,..
Nauru,..
Nepal,"1,254"
Netherlands,"3,760"
New Caledonia,..
New Zealand,..
Nicaragua,"1,114"
Niger,176
Nigeria,..
Niue,37
Northern Mariana Islands,53
Norway,"1,432"
Oman,412
Pakistan,..
Palau,..
Panama,871
Papua New Guinea,509
Paraguay,970
Peru,"22,115"
Philippines,"2,018"
Poland,"4,179"
Portugal,..
Puerto Rico,131
Qatar,124
Reunion,162
Romania,"7,656"
Russia,"21,300"
Rwanda,..
Saba,..
Saint Kitts And Nevis,..
Saint Lucia,172
Saint Vincent And The Grenadines,..
Samoa,..
San Marino,22
Sao Tome And Principe,70
Saudi Arabia,"7,629"
Senegal,810
Serbia,779
Seychelles,658
Sierra Leone,116
Singapore,410
Sint Eustatius,..
Sint Maarten (Dutch Part),..
Slovakia,"1,599"
Slovenia,487
Solomon Islands,..
Somalia,..
South Africa,"3,023"
South Sudan,..
Spain,"32,504"
Sri Lanka,"2,312"
Palestine,130
Sudan,370
Suriname,..
Sweden,"2,057"
Switzerland,"4,765"
Syria,..
Taiwan Province Of China,"3,482"
Tajikistan,189
Tanzania,..
Thailand,"19,660"
The Former Yugoslav Republic Of Macedonia,274
Timor-Leste,18
Togo,600
Tonga,..
Trinidad And Tobago,590
Tunisia,868
Turkey,"3,827"
Turkmenistan,..
Turks And Caicos Islands,217
Tuvalu,..
Uganda,"7,235"
Ukraine,"2,777"
United Arab Emirates,"1,106"
United Kingdom,..
United States Of America,"56,697"
United States Virgin Islands,30
Uruguay,..
Uzbekistan,916
Vanuatu,..
Venezuela,"4,411"
Vietnam,"28,000"
Yemen,..
Zambia,"1,139"
Zimbabwe,96
