country,outbound
Afghanistan,..
Albania,..
Algeria,"5,610"
American Samoa,..
Andorra,..
Angola,..
Anguilla,..
Antigua And Barbuda,..
Argentina,"11,130"
Armenia,"1,623"
Aruba,..
Australia,..
Austria,"11,883"
Azerbaijan,"3,919"
Bahamas,..
Bahrain,"2,539"
Bangladesh,..
Barbados,..
Belarus,836
Belgium,"13,098"
Belize,..
Benin,..
Bermuda,..
Bhutan,..
Bolivia,"1,060"
Bonaire,..
Bosnia And Herzegovina,..
Botswana,..
Brazil,"10,628"
British Virgin Islands,..
Brunei Darussalam,..
Bulgaria,"6,699"
Burkina Faso,..
Burundi,..
Cabo Verde,..
Cambodia,"1,995"
Cameroon,..
Canada,"26,033"
Cayman Islands,..
Central African Republic,..
Chad,..
Chile,"3,825"
China,"149,720"
Colombia,"4,368"
Comoros,..
Congo,..
Congo,424
Cook Islands,14
Costa Rica,"1,079"
Côte D'Ivoire,..
Croatia,"2,058"
Cuba,..
Curaçao,..
Cyprus,..
Czech Republic,"7,390"
Denmark,"7,475"
Djibouti,..
Dominica,..
Dominican Republic,514
Ecuador,"1,402"
Egypt,..
El Salvador,"1,260"
Equatorial Guinea,..
Eritrea,..
Estonia,"2,069"
Eswatini,"1,717"
Ethiopia,..
Fiji,174
Finland,"9,450"
France,"26,914"
French Guiana,..
French Polynesia,47
Gabon,..
Gambia,..
Georgia,"3,698"
Germany,"108,542"
Ghana,..
Greece,"7,961"
Grenada,..
Guadeloupe,..
Guam,..
Guatemala,"1,227"
Guinea,..
Guinea-Bissau,..
Guyana,..
Haiti,..
Honduras,..
"Hong Kong, China",..
Hungary,"8,649"
Iceland,668
India,"26,296"
Indonesia,"9,468"
Iran,..
Iraq,..
Ireland,..
Israel,"8,473"
Italy,"33,347"
Jamaica,..
Japan,..
Jordan,"1,501"
Kazakhstan,..
Kenya,..
Kiribati,..
"Korea, Democratic People'S Republic Of",..
South Korea,..
Kuwait,..
Kyrgyzstan,..
Laos,..
Latvia,"1,368"
Lebanon,..
Lesotho,..
Liberia,..
Libya,..
Liechtenstein,..
Lithuania,"2,244"
Luxembourg,"1,989"
"Macao, China",..
Madagascar,..
Malawi,..
Malaysia,..
Maldives,..
Mali,..
Malta,667
Marshall Islands,..
Martinique,..
Mauritania,..
Mauritius,296
Mexico,"19,748"
Micronesia,..
Moldova,251
Monaco,..
Mongolia,..
Montenegro,..
Montserrat,..
Morocco,"1,923"
Mozambique,..
Myanmar,..
Namibia,..
Nauru,..
Nepal,..
Netherlands,"22,115"
New Caledonia,139
New Zealand,"3,038"
Nicaragua,974
Niger,..
Nigeria,..
Niue,..
Northern Mariana Islands,..
Norway,"8,110"
Oman,"3,350"
Pakistan,..
Palau,..
Panama,681
Papua New Guinea,..
Paraguay,"1,266"
Peru,"3,078"
Philippines,..
Poland,"12,800"
Portugal,"2,486"
Puerto Rico,..
Qatar,..
Reunion,..
Romania,..
Russia,..
Rwanda,..
Saba,..
Saint Kitts And Nevis,..
Saint Lucia,..
Saint Vincent And The Grenadines,..
Samoa,64
San Marino,..
Sao Tome And Principe,..
Saudi Arabia,"21,866"
Senegal,..
Serbia,..
Seychelles,72
Sierra Leone,112
Singapore,"10,378"
Sint Eustatius,..
Sint Maarten (Dutch Part),..
Slovakia,..
Slovenia,"3,188"
Solomon Islands,..
Somalia,..
South Africa,..
South Sudan,..
Spain,"19,116"
Sri Lanka,"1,476"
Palestine,..
Sudan,..
Suriname,..
Sweden,..
Switzerland,"15,285"
Syria,..
Taiwan Province Of China,..
Tajikistan,31
Tanzania,..
Thailand,"9,966"
The Former Yugoslav Republic Of Macedonia,..
Timor-Leste,..
Togo,236
Tonga,..
Trinidad And Tobago,..
Tunisia,"2,515"
Turkey,"8,383"
Turkmenistan,..
Turks And Caicos Islands,..
Tuvalu,..
Uganda,..
Ukraine,"27,811"
United Arab Emirates,..
United Kingdom,"70,386"
United States Of America,"92,564"
United States Virgin Islands,..
Uruguay,"1,947"
Uzbekistan,..
Vanuatu,29
Venezuela,..
Vietnam,..
Yemen,..
Zambia,..
Zimbabwe,"2,987"
