country,employees
Afghanistan,..
Albania,43.6
Algeria,..
American Samoa,..
Andorra,..
Angola,579
Anguilla,..
Antigua And Barbuda,..
Argentina,"1,013.90"
Armenia,..
Aruba,..
Australia,646
Austria,..
Azerbaijan,53.2
Bahamas,..
Bahrain,23
Bangladesh,..
Barbados,..
Belarus,241.7
Belgium,..
Belize,22.3
Benin,..
Bermuda,..
Bhutan,..
Bolivia,..
Bonaire,..
Bosnia And Herzegovina,26.8
Botswana,..
Brazil,"2,182.90"
British Virgin Islands,..
Brunei Darussalam,3
Bulgaria,..
Burkina Faso,..
Burundi,..
Cabo Verde,..
Cambodia,..
Cameroon,..
Canada,..
Cayman Islands,..
Central African Republic,..
Chad,..
Chile,438.4
China,..
Colombia,..
Comoros,..
Congo,7.5
Congo,..
Cook Islands,..
Costa Rica,156.5
Côte D'Ivoire,128.8
Croatia,79
Cuba,..
Curaçao,..
Cyprus,46.2
Czech Republic,238.8
Denmark,197.4
Djibouti,..
Dominica,..
Dominican Republic,336.5
Ecuador,134.5
Egypt,..
El Salvador,55
Equatorial Guinea,..
Eritrea,..
Estonia,28.2
Eswatini,..
Ethiopia,..
Fiji,..
Finland,140.2
France,"1,368.20"
French Guiana,..
French Polynesia,11.5
Gabon,..
Gambia,..
Georgia,111.3
Germany,"2,166.20"
Ghana,..
Greece,320.4
Grenada,..
Guadeloupe,..
Guam,..
Guatemala,..
Guinea,..
Guinea-Bissau,..
Guyana,..
Haiti,..
Honduras,264.1
"Hong Kong, China",257
Hungary,333.8
Iceland,30
India,..
Indonesia,399.5
Iran,..
Iraq,..
Ireland,..
Israel,247.9
Italy,..
Jamaica,..
Japan,"5,760.00"
Jordan,51.5
Kazakhstan,116.3
Kenya,..
Kiribati,..
"Korea, Democratic People'S Republic Of",..
South Korea,"2,652.00"
Kuwait,..
Kyrgyzstan,8.4
Laos,..
Latvia,77.1
Lebanon,..
Lesotho,..
Liberia,..
Libya,..
Liechtenstein,..
Lithuania,47.2
Luxembourg,..
"Macao, China",..
Madagascar,46
Malawi,..
Malaysia,..
Maldives,..
Mali,..
Malta,..
Marshall Islands,..
Martinique,11.8
Mauritania,..
Mauritius,31
Mexico,..
Micronesia,..
Moldova,3.1
Monaco,..
Mongolia,16.2
Montenegro,16
Montserrat,..
Morocco,548
Mozambique,..
Myanmar,..
Namibia,42.4
Nauru,..
Nepal,..
Netherlands,..
New Caledonia,..
New Zealand,192
Nicaragua,52.5
Niger,..
Nigeria,"1,429.40"
Niue,..
Northern Mariana Islands,..
Norway,166.2
Oman,..
Pakistan,..
Palau,..
Panama,..
Papua New Guinea,..
Paraguay,10.8
Peru,..
Philippines,"5,366.00"
Poland,..
Portugal,..
Puerto Rico,..
Qatar,..
Reunion,12.2
Romania,371.7
Russia,"1,338.00"
Rwanda,..
Saba,..
Saint Kitts And Nevis,..
Saint Lucia,..
Saint Vincent And The Grenadines,..
Samoa,..
San Marino,3.5
Sao Tome And Principe,..
Saudi Arabia,536
Senegal,100
Serbia,164.9
Seychelles,..
Sierra Leone,38.6
Singapore,..
Sint Eustatius,..
Sint Maarten (Dutch Part),..
Slovakia,..
Slovenia,58.2
Solomon Islands,..
Somalia,..
South Africa,722
South Sudan,..
Spain,"2,604.80"
Sri Lanka,169
Palestine,34
Sudan,..
Suriname,..
Sweden,172.4
Switzerland,181.7
Syria,..
Taiwan Province Of China,101.6
Tajikistan,23.9
Tanzania,..
Thailand,"4,257.70"
The Former Yugoslav Republic Of Macedonia,..
Timor-Leste,..
Togo,..
Tonga,..
Trinidad And Tobago,23.5
Tunisia,..
Turkey,"1,569.00"
Turkmenistan,..
Turks And Caicos Islands,..
Tuvalu,..
Uganda,..
Ukraine,..
United Arab Emirates,409.1
United Kingdom,..
United States Of America,"5,924.80"
United States Virgin Islands,8
Uruguay,115.2
Uzbekistan,50
Vanuatu,..
Venezuela,..
Vietnam,..
Yemen,..
Zambia,59.8
Zimbabwe,..
